106th Congress (1999-2000),599
108th Congress (2003-2004),504
109th Congress (2005-2006),483
110th Congress (2007-2008),460
115th Congress (2017-2018),443
111th Congress (2009-2010),385
107th Congress (2001-2002),383
116th Congress (2019-2020),344
114th Congress (2015-2016),328
113th Congress (2013-2014),293
112th Congress (2011-2012),284
117th Congress (2021-2022),214
"Smith, Adam [Rep.-D-WA-9]",1
"Pombo, Richard W. [Rep.-R-CA-11]",1
"as the \"\"Winston E. Arnow United States Courthouse\"\".",1
"Jr. [Rep.-R-WA-5]\"",1
"DeLauro, Rosa L. [Rep.-D-CT-3]",1
to improve and,1
"DeFazio, Peter A. [Rep.-D-OR-4]",1
"Inhofe, James M. [Sen.-R-OK]",1
"Jr. [Rep.-D-NC-1]\"",1
